# Метеостанция Черняховск, Россия, WMO_ID=26711, выборка с 21.05.2024 по 27.05.2025, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26711&lang=ru
#
"Местное время в Черняховске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.11.2024 23:00";"1.8";"771.0";"";"";"92";"Ветер, дующий с юго-востока";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 21:00";"2.1";"771.0";"";"";"90";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 20:00";"2.2";"770.0";"";"";"91";"Штиль, безветрие";"0";"4";"";"100%.";"Дымка. ";"";"";"";"2.3";"";"";"";"";"";"4.0";"";"Осадков нет";"12";"";"";"";"";
"11.11.2024 18:00";"2.2";"770.0";"";"";"90";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 17:00";"2.2";"770.0";"";"";"91";"Ветер, дующий с юго-востока";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"11.11.2024 15:00";"2.2";"770.0";"";"";"90";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 14:00";"2.2";"770.0";"";"";"90";"Ветер, дующий с юга";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 12:00";"2.1";"770.0";"";"";"90";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 11:00";"1.9";"770.0";"";"";"92";"Ветер, дующий с юго-запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 09:00";"1.9";"770.0";"";"";"90";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 08:00";"1.9";"769.8";"772.8";"-0.2";"92";"Ветер, дующий с юга";"1";"";"4";"100%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"1.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"0.7";"Осадков нет";"12";"Поверхность почвы влажная.";"2.0";"";"";
"11.11.2024 06:00";"2.0";"770.0";"";"";"91";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 05:00";"2.2";"770.0";"";"";"90";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 03:00";"2.3";"770.0";"";"";"90";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 02:00";"2.4";"770.0";"";"";"91";"Ветер, дующий с юга";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.11.2024 00:00";"2.8";"770.0";"";"";"91";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 23:00";"2.9";"770.0";"";"";"91";"Ветер, дующий с юга";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 21:00";"2.9";"771.0";"";"";"91";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 20:00";"3.0";"771.0";"";"";"90";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка. ";"";"";"";"3.5";"";"";"";"";"";"4.0";"";"Осадков нет";"12";"";"";"";"";
"10.11.2024 18:00";"3.1";"771.0";"";"";"91";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 17:00";"3.2";"771.0";"";"";"89";"Ветер, дующий с юга";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.11.2024 15:00";"3.3";"771.0";"";"";"88";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 14:00";"3.4";"771.0";"";"";"89";"Ветер, дующий с юго-востока";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 12:00";"3.1";"772.0";"";"";"91";"Ветер, дующий с юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 11:00";"2.9";"772.0";"";"";"91";"Ветер, дующий с юго-востока";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 09:00";"2.7";"772.0";"";"";"93";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 08:00";"2.7";"771.5";"774.5";"-0.5";"94";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"2.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"1.8";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"10.11.2024 06:00";"2.9";"772.0";"";"";"92";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 05:00";"3.0";"772.0";"";"";"94";"Ветер, дующий с юго-востока";"1";"4";"";"";" ";"";"";"3.0";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.11.2024 03:00";"3.3";"772.0";"";"";"95";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 02:00";"3.4";"772.0";"";"";"95";"Ветер, дующий с юга";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.11.2024 00:00";"3.4";"772.0";"";"";"96";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 23:00";"3.7";"772.0";"";"";"97";"Ветер, дующий с юго-востока";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 21:00";"4.1";"772.0";"";"";"96";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 20:00";"4.1";"772.0";"";"";"97";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка. ";"";"";"";"5.6";"";"";"";"";"";"4.0";"";"Осадков нет";"12";"";"";"";"";
"09.11.2024 18:00";"4.6";"772.0";"";"";"94";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 17:00";"5.1";"772.0";"";"";"95";"Ветер, дующий с юга";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"09.11.2024 15:00";"5.5";"773.0";"";"";"93";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 14:00";"5.5";"773.0";"";"";"94";"Ветер, дующий с юго-востока";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 12:00";"5.4";"774.0";"";"";"94";"Ветер, дующий с юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 11:00";"5.2";"774.0";"";"";"96";"Ветер, дующий с юго-востока";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 09:00";"5.5";"774.0";"";"";"95";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 08:00";"5.5";"773.8";"776.8";"-0.2";"95";"Ветер, дующий с юго-юго-востока";"1";"2";"";"100%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"5.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"4.7";"Осадков нет";"12";"Поверхность почвы влажная.";"6.0";"";"";
"09.11.2024 06:00";"5.7";"774.0";"";"";"95";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 05:00";"5.8";"774.0";"";"";"93";"Ветер, дующий с юго-востока";"1";"3";"";"";" ";"";"";"5.8";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"09.11.2024 03:00";"6.1";"775.0";"";"";"96";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 02:00";"6.3";"775.0";"";"";"95";"Ветер, дующий с юго-востока";"1";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.11.2024 00:00";"6.3";"775.0";"";"";"95";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 23:00";"6.2";"775.0";"";"";"95";"Штиль, безветрие";"0";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 21:00";"6.4";"775.0";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 20:00";"6.4";"775.0";"";"";"95";"Штиль, безветрие";"0";"2";"";"100%.";"Дымка. ";"";"";"";"7.3";"";"";"";"";"";"4.0";"";"Следы осадков";"12";"";"";"";"";
"08.11.2024 18:00";"6.6";"775.0";"";"";"94";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 17:00";"6.8";"775.0";"";"";"94";"Ветер, дующий с юга";"1";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"08.11.2024 15:00";"7.3";"775.0";"";"";"92";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 14:00";"7.2";"775.0";"";"";"93";"Штиль, безветрие";"0";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 12:00";"7.0";"775.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 11:00";"6.6";"775.0";"";"";"100";"Штиль, безветрие";"0";"1";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 09:00";"5.5";"775.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 08:00";"5.2";"774.3";"777.2";"0.3";"100";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"5.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"1.0";"5.2";"0.6";"12";"Поверхность почвы влажная.";"6.0";"";"";
"08.11.2024 06:00";"5.1";"774.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 05:00";"5.1";"774.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"2";"";"";" ";"";"";"5.0";"";"";"";"";"";"";"";"";"0.6";"12";"";"";"";"";
"08.11.2024 03:00";"5.0";"774.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 02:00";"5.1";"773.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.11.2024 00:00";"5.3";"773.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 23:00";"5.3";"773.0";"";"";"100";"Ветер, дующий с запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 21:00";"5.4";"772.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 20:00";"5.5";"772.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Дымка. ";"";"";"";"5.9";"";"";"";"";"";"2.0";"";"1.0";"12";"";"";"";"";
"07.11.2024 18:00";"5.6";"772.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 17:00";"5.7";"772.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"0.3";"12";"";"";"";"";
"07.11.2024 15:00";"5.8";"771.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 14:00";"5.9";"771.0";"";"";"99";"Ветер, дующий с юго-запада";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 12:00";"5.3";"771.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 11:00";"5.0";"771.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 09:00";"4.4";"771.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 08:00";"4.0";"770.8";"773.8";"0.8";"100";"Ветер, дующий с юго-юго-запада";"2";"4";"4";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"1.1";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"2.0";"4.0";"0.3";"12";"Поверхность почвы влажная.";"1.0";"";"";
"07.11.2024 06:00";"3.8";"770.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 05:00";"3.4";"770.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"3";"";"";" ";"";"";"1.1";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"07.11.2024 03:00";"2.1";"771.0";"";"";"100";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 02:00";"1.6";"771.0";"";"";"100";"Ветер, дующий с юга";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.11.2024 00:00";"1.7";"771.0";"";"";"100";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 23:00";"2.2";"771.0";"";"";"100";"Ветер, дующий с запада";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 20:00";"1.3";"771.0";"";"";"99";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";"Дымка. ";"";"";"";"11.1";"";"";"";"";"";"4.0";"";"Осадков нет";"12";"";"";"";"";
"06.11.2024 18:00";"4.0";"770.0";"";"";"88";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 17:00";"9.2";"770.0";"";"";"71";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 15:00";"10.2";"770.0";"";"";"69";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 14:00";"10.4";"770.0";"";"";"70";"Ветер, дующий с юго-запада";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 11:00";"8.0";"770.0";"";"";"90";"Ветер, дующий с юга";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 09:00";"7.2";"769.0";"";"";"92";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 08:00";"6.9";"769.0";"771.9";"1.0";"93";"Ветер, дующий с юго-запада";"1";"3";"3";"100%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"6.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"5.9";"Осадков нет";"12";"Поверхность почвы влажная.";"6.0";"";"";
"06.11.2024 06:00";"7.2";"769.0";"";"";"92";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 05:00";"7.3";"768.0";"";"";"91";"Ветер, дующий с юго-запада";"1";"3";"";"";" ";"";"";"6.0";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"06.11.2024 03:00";"7.4";"768.0";"";"";"89";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 02:00";"7.3";"768.0";"";"";"90";"Ветер, дующий с запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.11.2024 00:00";"6.7";"768.0";"";"";"90";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 23:00";"6.4";"768.0";"";"";"91";"Ветер, дующий с юго-запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 21:00";"6.0";"768.0";"";"";"92";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 20:00";"6.2";"768.0";"";"";"94";"Ветер, дующий с юго-запада";"2";"4";"";"100%.";" ";"";"";"";"10.3";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"05.11.2024 18:00";"6.6";"768.0";"";"";"91";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 17:00";"7.8";"768.0";"";"";"84";"Ветер, дующий с запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"05.11.2024 16:00";"9.5";"768.0";"";"";"76";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 15:00";"9.8";"768.0";"";"";"75";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 14:00";"9.7";"768.0";"";"";"77";"Ветер, дующий с запада";"2";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 12:00";"8.5";"769.0";"";"";"79";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 11:00";"8.1";"769.0";"";"";"80";"Ветер, дующий с запада";"2";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 09:00";"2.6";"769.0";"";"";"97";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 08:00";"2.2";"769.0";"";"";"97";"Ветер, дующий с юго-запада";"2";"4";"";"50%.";" ";"";"";"0.3";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"05.11.2024 06:00";"3.3";"769.0";"";"";"96";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 05:00";"3.0";"769.0";"";"";"97";"Ветер, дующий с юга";"1";"3";"";"";" ";"";"";"0.3";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"05.11.2024 03:00";"2.8";"770.0";"";"";"98";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 02:00";"2.3";"770.0";"";"";"99";"Ветер, дующий с юга";"1";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.11.2024 00:00";"1.2";"770.0";"";"";"100";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 23:00";"0.6";"771.0";"";"";"100";"Ветер, дующий с юга";"1";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 21:00";"0.9";"770.0";"";"";"99";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 20:00";"1.6";"770.0";"";"";"98";"Ветер, дующий с юго-запада";"1";"4";"";"40%.";" ";"";"";"";"8.9";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"04.11.2024 18:00";"2.3";"770.0";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 17:00";"4.1";"770.0";"";"";"88";"Штиль, безветрие";"0";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"04.11.2024 15:00";"8.6";"769.0";"";"";"68";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 14:00";"8.6";"769.0";"";"";"69";"Ветер, дующий с севера";"2";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 12:00";"8.2";"769.0";"";"";"73";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 11:00";"7.6";"769.0";"";"";"74";"Ветер, дующий с севера";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 09:00";"2.3";"767.0";"";"";"94";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 08:00";"1.3";"767.0";"";"";"96";"Ветер, дующий с запада";"1";"10";"";"Облаков нет.";" ";"";"";"0.9";"";"";"";"";"";"";"10.0";"";"3.0";"12";"";"";"";"";
"04.11.2024 06:00";"3.3";"765.0";"";"";"91";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 05:00";"4.6";"764.0";"";"";"88";"Ветер, дующий с северо-запада";"3";"10";"";"";" ";"";"";"4.6";"";"";"";"";"";"";"";"";"4.0";"12";"";"";"";"";
"04.11.2024 03:00";"6.6";"762.0";"";"";"81";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 02:00";"8.6";"761.0";"";"";"86";"Ветер, дующий с севера";"5";"11";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.11.2024 00:00";"10.7";"759.0";"";"";"94";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.11.2024 23:00";"10.4";"759.0";"";"";"96";"Ветер, дующий с северо-запада";"4";"9";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.11.2024 21:00";"7.4";"759.0";"";"";"100";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.11.2024 20:00";"6.8";"759.0";"";"";"100";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Дождь незамерзающий непрерывный умеренный в срок наблюдения. ";"";"";"";"8.1";"";"";"";"";"";"2.0";"";"2.0";"12";"";"";"";"";
"03.11.2024 18:00";"6.0";"760.0";"";"";"91";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.11.2024 17:00";"6.2";"761.0";"";"";"89";"Ветер, дующий с юго-запада";"4";"13";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"03.11.2024 15:00";"7.6";"762.0";"";"";"75";"Ветер, дующий с запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.11.2024 14:00";"7.6";"763.0";"";"";"73";"Ветер, дующий с юго-запада";"3";"11";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.11.2024 12:00";"7.0";"764.0";"";"";"70";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.11.2024 11:00";"6.0";"765.0";"";"";"71";"Ветер, дующий с юго-запада";"3";"10";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
